location,date,new_cases
China,1/22/2020,
China,1/23/2020,92
China,1/24/2020,277
China,1/25/2020,483
China,1/26/2020,663
China,1/27/2020,801
China,1/28/2020,2631
China,1/29/2020,576
China,1/30/2020,2054
China,1/31/2020,1659
China,2/1/2020,2088
China,2/2/2020,4736
China,2/3/2020,3086
China,2/4/2020,3987
China,2/5/2020,3729
China,2/6/2020,3144
China,2/7/2020,3522
China,2/8/2020,2703
China,2/9/2020,3012
China,2/10/2020,2516
China,2/11/2020,2021
China,2/12/2020,372
China,2/13/2020,15133
China,2/14/2020,6460
China,2/15/2020,2055
China,2/16/2020,2099
China,2/17/2020,1918
China,2/18/2020,1775
China,2/19/2020,407
China,2/20/2020,453
China,2/21/2020,473
China,2/22/2020,1450
China,2/23/2020,16
China,2/24/2020,214
China,2/25/2020,508
China,2/26/2020,405
China,2/27/2020,433
China,2/28/2020,326
China,2/29/2020,427
China,3/1/2020,575
China,3/2/2020,200
China,3/3/2020,125
China,3/4/2020,120
China,3/5/2020,151
China,3/6/2020,151
China,3/7/2020,79
China,3/8/2020,47
China,3/9/2020,36
China,3/10/2020,22
China,3/11/2020,28
China,3/12/2020,8
China,3/13/2020,8
China,3/14/2020,26
China,3/15/2020,21
China,3/16/2020,19
China,3/17/2020,17
China,3/18/2020,22
China,3/19/2020,25
China,3/20/2020,46
China,3/21/2020,37
China,3/22/2020,80
China,3/23/2020,24
China,3/24/2020,62
China,3/25/2020,41
China,3/26/2020,77
China,3/27/2020,47
China,3/28/2020,56
China,3/29/2020,43
China,3/30/2020,34
China,3/31/2020,46
China,4/1/2020,31
China,4/2/2020,34
China,4/3/2020,34
China,4/4/2020,15
China,4/5/2020,30
China,4/6/2020,39
China,4/7/2020,32
China,4/8/2020,65
China,4/9/2020,61
China,4/10/2020,42
China,4/11/2020,62
China,4/12/2020,116
China,4/13/2020,74
China,4/14/2020,90
China,4/15/2020,45
China,4/16/2020,47
China,4/17/2020,353
China,4/18/2020,24
China,4/19/2020,17
China,4/20/2020,12
China,4/21/2020,32
China,4/22/2020,11
China,4/23/2020,14
China,4/24/2020,15
China,4/25/2020,8
China,4/26/2020,3
China,4/27/2020,6
China,4/28/2020,22
China,4/29/2020,4
China,4/30/2020,12
China,5/1/2020,1
China,5/2/2020,0
China,5/3/2020,5
China,5/4/2020,1
China,5/5/2020,2
China,5/6/2020,2
China,5/7/2020,1
China,5/8/2020,1
China,5/9/2020,14
China,5/10/2020,17
China,5/11/2020,1
China,5/12/2020,7
China,5/13/2020,3
China,5/14/2020,4
China,5/15/2020,8
China,5/16/2020,6
China,5/17/2020,7
China,5/18/2020,9
China,5/19/2020,0
China,5/20/2020,0
China,5/21/2020,0
China,5/22/2020,8
China,5/23/2020,3
China,5/24/2020,11
China,5/25/2020,7
China,5/26/2020,1
China,5/27/2020,2
China,5/28/2020,0
China,5/29/2020,4
China,5/30/2020,2
China,5/31/2020,16
China,6/1/2020,5
China,6/2/2020,1
China,6/3/2020,-1
China,6/4/2020,5
China,6/5/2020,3
China,6/6/2020,6
China,6/7/2020,4
China,6/8/2020,3
China,6/9/2020,3
China,6/10/2020,11
China,6/11/2020,7
China,6/12/2020,11
China,6/13/2020,57
China,6/14/2020,49
China,6/15/2020,40
China,6/16/2020,44
China,6/17/2020,28
China,6/18/2020,32
China,6/19/2020,0
China,6/20/2020,55
China,6/21/2020,16
China,6/22/2020,22
China,6/23/2020,13
China,6/24/2020,18
China,6/25/2020,13
China,6/26/2020,21
China,6/27/2020,17
China,6/28/2020,12
China,6/29/2020,19
China,6/30/2020,3
China,7/1/2020,3
China,7/2/2020,5
China,7/3/2020,3
China,7/4/2020,8
China,7/5/2020,4
China,7/6/2020,1
China,7/7/2020,14
China,7/8/2020,9
China,7/9/2020,0
China,7/10/2020,0
China,7/11/2020,13
China,7/12/2020,8
China,7/13/2020,0
China,7/14/2020,9
China,7/15/2020,1
China,7/16/2020,14
China,7/17/2020,17
China,7/18/2020,16
China,7/19/2020,21
China,7/20/2020,11
China,7/21/2020,13
China,7/22/2020,25
China,7/23/2020,21
China,7/24/2020,34
China,7/25/2020,46
China,7/26/2020,61
China,7/27/2020,68
China,7/28/2020,101
China,7/29/2020,105
China,7/30/2020,127
China,7/31/2020,45
China,8/1/2020,48
China,8/2/2020,43
China,8/3/2020,36
China,8/4/2020,27
China,8/5/2020,37
China,8/6/2020,37
China,8/7/2020,31
China,8/8/2020,23
China,8/9/2020,49
China,8/10/2020,44
China,8/11/2020,19
China,8/12/2020,25
China,8/13/2020,30
China,8/14/2020,22
China,8/15/2020,19
China,8/16/2020,22
China,8/17/2020,22
China,8/18/2020,17
China,8/19/2020,7
China,8/20/2020,22
China,8/21/2020,22
China,8/22/2020,12
China,8/23/2020,16
China,8/24/2020,14
China,8/25/2020,15
China,8/26/2020,8
China,8/27/2020,9
China,8/28/2020,9
China,8/29/2020,9
China,8/30/2020,17
China,8/31/2020,10
China,9/1/2020,7
China,9/2/2020,12
China,9/3/2020,25
China,9/4/2020,10
China,9/5/2020,10
China,9/6/2020,12
China,9/7/2020,9
China,9/8/2020,3
China,9/9/2020,7
China,9/10/2020,15
China,9/11/2020,6
China,9/12/2020,10
China,9/13/2020,10
China,9/14/2020,8
China,9/15/2020,12
China,9/16/2020,9
China,9/17/2020,32
China,9/18/2020,14
China,9/19/2020,10
China,9/20/2020,12
China,9/21/2020,6
China,9/22/2020,10
China,9/23/2020,7
China,9/24/2020,8
China,9/25/2020,15
China,9/26/2020,14
China,9/27/2020,21
China,9/28/2020,12
China,9/29/2020,19
China,9/30/2020,9
China,10/1/2020,12
China,10/2/2020,10
China,10/3/2020,16
China,10/4/2020,20
China,10/5/2020,12
China,10/6/2020,7
China,10/7/2020,9
China,10/8/2020,23
China,10/9/2020,15
China,10/10/2020,21
China,10/11/2020,27
China,10/12/2020,7
China,10/13/2020,20
China,10/14/2020,11
China,10/15/2020,24
China,10/16/2020,13
China,10/17/2020,13
China,10/18/2020,13
China,10/19/2020,19
China,10/20/2020,11
China,10/21/2020,14
China,10/22/2020,18
China,10/23/2020,31
China,10/24/2020,15
China,10/25/2020,17
China,10/26/2020,16
China,10/27/2020,42
China,10/28/2020,47
China,10/29/2020,25
China,10/30/2020,33
China,10/31/2020,24
China,11/1/2020,24
China,11/2/2020,49
China,11/3/2020,17
China,11/4/2020,28
China,11/5/2020,36
China,11/6/2020,33
China,11/7/2020,28
China,11/8/2020,33
China,11/9/2020,22
China,11/10/2020,17
China,11/11/2020,15
China,11/12/2020,8
China,11/13/2020,18
China,11/14/2020,13
China,11/15/2020,8
China,11/16/2020,14
China,11/17/2020,9
China,11/18/2020,12
China,11/19/2020,17
China,11/20/2020,16
China,11/21/2020,17
China,11/22/2020,11
China,11/23/2020,22
China,11/24/2020,5
China,11/25/2020,21
China,11/26/2020,5
China,11/27/2020,6
China,11/28/2020,11
China,11/29/2020,18
China,11/30/2020,12
China,12/1/2020,9
China,12/2/2020,17
China,12/3/2020,18
China,12/4/2020,15
China,12/5/2020,18
China,12/6/2020,15
China,12/7/2020,15
China,12/8/2020,12
China,12/9/2020,12
China,12/10/2020,15
China,12/11/2020,13
China,12/12/2020,24
China,12/13/2020,16
China,12/14/2020,17
China,12/15/2020,12
China,12/16/2020,7
China,12/17/2020,12
China,12/18/2020,17
China,12/19/2020,23
China,12/20/2020,23
China,12/21/2020,15
China,12/22/2020,15
China,12/23/2020,17
China,12/24/2020,14
China,12/25/2020,20
China,12/26/2020,22
China,12/27/2020,21
China,12/28/2020,27
China,12/29/2020,24
China,12/30/2020,25
China,12/31/2020,19
China,1/1/2021,18
China,1/2/2021,28
China,1/3/2021,33
China,1/4/2021,33
China,1/5/2021,32
China,1/6/2021,63
China,1/7/2021,53
China,1/8/2021,33
China,1/9/2021,69
China,1/10/2021,103
China,1/11/2021,55
China,1/12/2021,115
China,1/13/2021,138
China,1/14/2021,144
China,1/15/2021,130
China,1/16/2021,109
China,1/17/2021,109
China,1/18/2021,118
China,1/19/2021,103
China,1/20/2021,144
China,1/21/2021,110
China,1/22/2021,100
China,1/23/2021,80
China,1/24/2021,124
China,1/25/2021,82
China,1/26/2021,75
China,1/27/2021,54
China,1/28/2021,52
China,1/29/2021,52
China,1/30/2021,92
China,1/31/2021,42
China,2/1/2021,30
China,2/2/2021,25
China,2/3/2021,30
China,2/4/2021,20
China,2/5/2021,12
China,2/6/2021,11
China,2/7/2021,14
China,2/8/2021,14
China,2/9/2021,14
China,2/10/2021,2
China,2/11/2021,12
China,2/12/2021,8
China,2/13/2021,7
China,2/14/2021,9
China,2/15/2021,16
